id_deputado,deputado,presencas,sessoes_total,votacoes_participadas,taxa_votacao
204469,,92,392,623,0.10336817653890824
204471,,226,392,1308,0.21702339472374316
204472,José Medeiros,340,392,2054,0.34079973452795753
204473,General Girão,339,392,1972,0.32719429235108677
204474,Juarez Costa,302,392,2030,0.33681765389082463
204475,,187,392,1106,0.1835075493612079
204476,,266,392,1564,0.25949892151982745
204477,,230,392,1538,0.2551850008296001
204478,,179,392,1090,0.18085282893645263
204479,Nicoletti,332,392,2474,0.4104861456777833
204480,Rogério Correia,353,392,1994,0.3308445329351253
204481,Dr. Jaziel,318,392,1857,0.3081134892981583
204482,Euclydes Pettersen,298,392,1558,0.2585034013605442
204483,,231,392,1370,0.22731043636966983
204484,,233,392,1665,0.2762568442010951
204485,Luiz Carlos Motta,354,392,1864,0.3092749294839887
204486,Mauro Benevides Filho,312,392,1735,0.28787124605939934
204487,,179,392,986,0.16359714617554338
204488,Célio Studart,337,392,1664,0.2760909241745479
204489,Robério Monteiro,273,392,1587,0.26331508213041316
204490,,229,392,1386,0.22996515679442509
204491,Gilberto Abramo,344,392,1788,0.2966650074664012
204492,Paulo Guedes,343,392,1887,0.3130910900945744
204494,Fred Costa,303,392,1925,0.31939605110336816
204495,Airton Faleiro,336,392,1832,0.3039654886344782
204496,,253,392,1377,0.22847187655550025
204497,Júnior Ferrari,352,392,1762,0.2923510867761739
204498,Olival Marques,319,392,1885,0.31275925004148003
204499,,226,392,1265,0.20988883358221339
204500,,229,392,1448,0.24025219844035176
204501,Alencar Santana,341,392,2429,0.40301974448315914
204502,,220,392,1331,0.22083955533432886
204503,,232,392,1519,0.25203252032520324
204504,Cezinha de Madureira,330,392,2034,0.33748133399701347
204505,,219,392,1241,0.20590675294508048
204506,Marcos Pereira,303,392,1616,0.2681267629002821
204507,Carla Zambelli,301,392,1579,0.2619877219180355
204508,Igor Timo,322,392,1817,0.3014766882362701
204509,,161,392,964,0.1599469055915049
204510,,229,392,1388,0.2302969968475195
204511,David Soares,315,392,1718,0.2850506056080969
204512,Delegado Marcelo Freitas,341,392,2434,0.4038493446158951
204513,,229,392,1315,0.21818483490957358
204514,,228,392,1369,0.2271445163431226
204515,André Janones,330,392,1991,0.33034677285548364
204516,,233,392,1425,0.23643603782976605
204517,Zé Vitor,323,392,1752,0.2906918865107018
204518,Dr. Frederico,337,392,1826,0.302969968475195
204519,,229,392,1422,0.23593827775012444
204520,Junio Amaral,332,392,1936,0.3212211713953874
204521,,227,392,1296,0.2150323544051767
204522,,266,392,1432,0.23759747801559647
204523,,229,392,1379,0.22880371660859466
204524,Pinheirinho,351,392,1846,0.30628836900613904
204525,Rosana Valle,351,392,1833,0.3041314086610254
204526,Luiz Philippe de Orleans e Bragança,348,392,1991,0.33034677285548364
204527,,201,392,1197,0.1986062717770035
204528,Adriana Ventura,350,392,2193,0.3638626182180189
204529,,223,392,1349,0.22382611581217854
204530,,230,392,1365,0.2264808362369338
