id_deputado,deputado,presencas,votacoes_participadas,ganho_por_dia_trabalhado,ganho_por_votacao_participada
74270,Gilberto Nascimento,286,1735,160.83916083916083,26.512968299711815
74273,Jefferson Campos,325,1670,141.53846153846155,27.54491017964072
74283,Vicentinho,337,1788,136.49851632047478,25.727069351230426
74299,Leônidas Cristino,325,1931,141.53846153846155,23.82185396167789
74305,,61,411,754.0983606557377,111.92214111922141
74317,Júlio Cesar,343,1699,134.11078717201167,27.07474985285462
74319,,64,382,718.75,120.41884816753927
74352,,210,1216,219.04761904761904,37.828947368421055
74356,Silas Câmara,316,1830,145.56962025316454,25.136612021857925
74366,,224,1487,205.35714285714286,30.93476798924008
74371,Rubens Otoni,340,1989,135.2941176470588,23.127199597787833
74374,Geraldo Resende,118,557,389.8305084745763,82.58527827648115
74376,Vander Loubet,346,1784,132.9479768786127,25.7847533632287
74383,Giacobo,335,1681,137.3134328358209,27.364663890541344
74398,Maria do Rosário,310,1896,148.38709677419354,24.261603375527425
74399,,29,162,1586.2068965517242,283.95061728395063
74400,Paulo Pimenta,265,1389,173.58490566037736,33.117350611951046
74419,,227,1411,202.6431718061674,32.60099220411056
74428,Mendonça Filho,117,926,393.1623931623932,49.676025917926566
74439,,221,1266,208.1447963800905,36.334913112164294
74454,Eunício Oliveira,105,636,438.0952380952381,72.32704402515724
74459,,226,1309,203.53982300884957,35.14132925897632
74467,Damião Feliciano,315,1651,146.03174603174602,27.86190187764991
74471,,222,1255,207.2072072072072,36.65338645418327
74478,Luciano Bivar,233,1275,197.42489270386267,36.07843137254902
74537,Claudio Cajado,338,1847,136.09467455621302,24.905251759610177
74550,João Leão,116,749,396.55172413793105,61.415220293724964
74554,José Rocha,317,1991,145.11041009463722,23.103967855349072
74574,Paulo Magalhães,331,2017,138.97280966767372,22.806147744174517
74585,Lincoln Portela,354,2196,129.94350282485877,20.947176684881605
74646,Aécio Neves,313,1596,146.96485623003196,28.82205513784461
74655,,234,1572,196.5811965811966,29.262086513994912
74693,,163,922,282.2085889570552,49.891540130151846
74696,,64,241,718.75,190.8713692946058
74749,,214,1286,214.9532710280374,35.769828926905134
74784,Luiza Erundina,304,1763,151.31578947368422,26.091888825865002
74806,,62,494,741.9354838709677,93.11740890688259
74848,Jandira Feghali,348,1979,132.183908045977,23.244062657908035
74856,Laura Carneiro,121,1018,380.1652892561983,45.18664047151277
74858,Lindbergh Farias,119,604,386.5546218487395,76.15894039735099
75431,,226,1295,203.53982300884957,35.52123552123552
76874,,232,1288,198.27586206896552,35.714285714285715
80815,Leo Prates,121,568,380.1652892561983,80.98591549295774
81055,Márcio Jerry,275,1537,167.27272727272728,29.92843201040989
81297,,235,1569,195.74468085106383,29.31803696622052
88256,Clodoaldo Magalhães,116,513,396.55172413793105,89.66861598440546
89536,,31,233,1483.8709677419354,197.42489270386267
90201,,224,1358,205.35714285714286,33.87334315169367
90842,,136,847,338.2352941176471,54.30932703659976
91228,Waldemar Oliveira,118,964,389.8305084745763,47.71784232365145
92102,Leur Lomanto Júnior,341,1896,134.89736070381232,24.261603375527425
92172,,109,623,422.0183486238532,73.8362760834671
92346,Eduardo Bolsonaro,292,1727,157.53424657534248,26.635784597568037
92699,Fernando Monteiro,337,1730,136.49851632047478,26.589595375722542
92776,Stefano Aguiar,326,1712,141.1042944785276,26.869158878504674
93083,,228,1266,201.75438596491227,36.334913112164294
98057,Lafayette de Andrada,329,2270,139.8176291793313,20.26431718061674
98148,Cobalchini,124,903,370.96774193548384,50.94130675526024
98615,Ismael,119,518,386.5546218487395,88.8030888030888
100689,,13,83,3538.4615384615386,554.2168674698795
103758,,60,309,766.6666666666666,148.8673139158576
104552,Socorro Neri,121,716,380.1652892561983,64.24581005586592
105534,,14,113,3285.714285714286,407.07964601769913
107283,,283,1576,162.5441696113074,29.18781725888325
107970,Ana Paula Leão,107,474,429.9065420560748,97.0464135021097
108338,,225,1432,204.44444444444446,32.12290502793296
109429,Benes Leocádio,354,1864,129.94350282485877,24.678111587982833
112437,,199,1216,231.15577889447235,37.828947368421055
115200,,17,210,2705.8823529411766,219.04761904761904
115746,,219,1193,210.0456621004566,38.558256496228
116379,,242,1621,190.08264462809916,28.3775447254781
118594,,27,187,1703.7037037037037,245.98930481283423
121948,Adriano do Baldy,351,1803,131.05413105413106,25.513033832501385
122158,Pedro Paulo,261,1415,176.24521072796935,32.50883392226148
122195,,65,381,707.6923076923077,120.73490813648294
122466,,40,328,1150.0,140.2439024390244
122974,Pedro Lucas Fernandes,335,1781,137.3134328358209,25.82818641212802
123086,Átila Lira,119,884,386.5546218487395,52.036199095022624
123756,Antônia Lúcia,112,743,410.7142857142857,61.911170928667566
128760,,102,694,450.98039215686276,66.28242074927954
129618,,27,118,1703.7037037037037,389.8305084745763
132504,,239,1346,192.46861924686192,34.17533432392273
133373,,1,4,46000.0,11500.0
133439,André Figueiredo,356,2135,129.2134831460674,21.54566744730679
133810,Marcelo Moraes,339,1742,135.69321533923303,26.40642939150402
133968,,222,1459,207.2072072072072,31.528444139821797
134812,,109,725,422.0183486238532,63.44827586206897
135054,,229,1267,200.87336244541484,36.30623520126282
136811,Afonso Hamm,333,1652,138.13813813813815,27.84503631961259
137070,Vicentinho Júnior,301,1613,152.82392026578074,28.51828890266584
138286,Luciano Alves,72,292,638.8888888888889,157.53424657534248
139285,Lídice da Mata,341,2064,134.89736070381232,22.286821705426355
141335,,225,1260,204.44444444444446,36.507936507936506
141372,,111,555,414.4144144144144,82.88288288288288
141379,,1,4,46000.0,11500.0
141391,Arnaldo Jardim,343,1794,134.11078717201167,25.641025641025642
141398,Carlos Zarattini,345,1754,133.33333333333334,26.225769669327253
141401,,163,1056,282.2085889570552,43.56060606060606
141405,,224,1266,205.35714285714286,36.334913112164294
141408,Cleber Verde,322,1740,142.85714285714286,26.436781609195403
141411,Dagoberto Nogueira,340,1811,135.2941176470588,25.400331308669244
141417,,194,1141,237.11340206185568,40.31551270815074
141421,Eduardo da Fonte,328,1651,140.2439024390244,27.86190187764991
141422,,204,1216,225.49019607843138,37.828947368421055
141427,,224,1277,205.35714285714286,36.02192638997651
141428,,41,272,1121.9512195121952,169.11764705882354
141431,Fernando Coelho Filho,340,1651,135.2941176470588,27.86190187764991
141434,,227,1264,202.6431718061674,36.392405063291136
141439,,225,1367,204.44444444444446,33.65032918800293
141450,Hugo Leal,316,2033,145.56962025316454,22.626660108214462
141456,Jilmar Tatto,123,470,373.9837398373984,97.87234042553192
141458,João Carlos Bacelar,322,1670,142.85714285714286,27.54491017964072
141459,João Maia,343,1820,134.11078717201167,25.274725274725274
141464,José Airton Félix Cirilo,338,1674,136.09467455621302,27.479091995221026
141470,José Guimarães,347,2225,132.56484149855908,20.674157303370787
141478,,44,184,1045.4545454545455,250.0
141480,,124,642,370.96774193548384,71.65109034267913
141485,Luiz Carlos Busato,115,545,400.0,84.40366972477064
141487,Luiz Fernando Faria,115,435,400.0,105.74712643678161
141488,,231,1502,199.13419913419912,30.62583222370173
141508,,228,1421,201.75438596491227,32.371569317382125
141513,,209,1392,220.0956937799043,33.04597701149425
141515,,67,301,686.5671641791045,152.82392026578074
141516,Paulo Abi-Ackel,323,1833,142.41486068111456,25.095471903982542
141518,Paulinho da Força,251,1390,183.26693227091633,33.093525179856115
141523,,231,1401,199.13419913419912,32.83369022127052
141531,Rodrigo de Castro,337,1669,136.49851632047478,27.56141402037148
141533,Rodrigo Rollemberg,8,48,5750.0,958.3333333333334
141552,,47,238,978.7234042553191,193.27731092436974
141553,,225,1333,204.44444444444446,34.508627156789196
141555,Vinicius Carvalho,322,1727,142.85714285714286,26.635784597568037
143084,Tiago Dimas,238,1337,193.27731092436974,34.405385190725504
143632,Domingos Neto,287,1554,160.2787456445993,29.6010296010296
143942,Caio Vianna,55,202,836.3636363636364,227.72277227722773
146307,,215,1245,213.95348837209303,36.94779116465863
146788,,224,1313,205.35714285714286,35.034272658035036
150418,Márcio Marinho,337,1776,136.49851632047478,25.9009009009009
151208,,218,1257,211.0091743119266,36.5950676213206
152605,Glauber Braga,349,2006,131.8051575931232,22.93120638085743
152610,,213,1299,215.96244131455398,35.411855273287145
153423,Renilce Nicodemos,98,602,469.38775510204084,76.41196013289037
154178,,230,1288,200.0,35.714285714285715
154919,,16,107,2875.0,429.9065420560748
156190,Marcel van Hattem,354,2043,129.94350282485877,22.515907978463044
157130,Túlio Gadêlha,341,2014,134.89736070381232,22.840119165839127
159237,,57,341,807.0175438596491,134.89736070381232
160161,,118,572,389.8305084745763,80.41958041958041
160508,,215,1249,213.95348837209303,36.82946357085669
160510,Luis Tibé,279,1485,164.87455197132616,30.976430976430976
160511,,224,1280,205.35714285714286,35.9375
160512,Aureo Ribeiro,335,2320,137.3134328358209,19.82758620689655
160517,Paulo Folletto,139,698,330.9352517985611,65.9025787965616
160518,Weliton Prado,354,2153,129.94350282485877,21.365536460752438
160527,Aguinaldo Ribeiro,306,1731,150.32679738562092,26.57423454650491
160528,,221,1387,208.1447963800905,33.16510454217736
160531,,224,1400,205.35714285714286,32.857142857142854
160532,,203,1162,226.60098522167488,39.586919104991395
160534,,228,1364,201.75438596491227,33.72434017595308
160535,Marcon,340,1695,135.2941176470588,27.13864306784661
160538,Bohn Gass,348,1779,132.183908045977,25.857223159078135
160541,Arthur Lira,273,1353,168.4981684981685,33.99852180339985
160542,,33,240,1393.939393939394,191.66666666666666
160545,,311,1748,147.90996784565917,26.31578947368421
160548,Jonas Donizette,122,526,377.04918032786884,87.45247148288973
160552,Danrlei de Deus Hinterholz,216,1225,212.96296296296296,37.55102040816327
160553,Antonio Brito,359,1739,128.13370473537606,26.45198389879241
160556,Padre João,351,2114,131.05413105413106,21.759697256385998
160558,Paulo Freire Costa,320,1577,143.75,29.169308814204186
160559,Alceu Moreira,339,1857,135.69321533923303,24.771136241249327
160561,,20,34,2300.0,1352.9411764705883
160569,Waldenor Pereira,330,1763,139.3939393939394,26.091888825865002
160570,,210,1222,219.04761904761904,37.64320785597381
160575,Erika Kokay,354,2608,129.94350282485877,17.63803680981595
160587,,228,1485,201.75438596491227,30.976430976430976
160588,Diego Andrade,327,1657,140.67278287461772,27.76101388050694
160589,,209,1160,220.0956937799043,39.6551724137931
160591,Vinicius Gurgel,210,985,219.04761904761904,46.7005076142132
160592,Zeca Dirceu,336,1789,136.9047619047619,25.712688652878704
160598,Flávia Morais,342,2112,134.50292397660817,21.78030303030303
160599,Dimas Fabiano,353,1764,130.31161473087818,26.077097505668934
160600,Arthur Oliveira Maia,309,2046,148.8673139158576,22.482893450635387
160601,Pr. Marco Feliciano,328,2303,140.2439024390244,19.97394702561876
160604,Pedro Uczai,334,1835,137.7245508982036,25.068119891008173
160610,Valmir Assunção,343,1729,134.11078717201167,26.604973973395026
160619,,199,1081,231.15577889447235,42.5531914893617
160621,,62,339,741.9354838709677,135.69321533923303
160629,Romero Rodrigues,124,465,370.96774193548384,98.9247311827957
160632,Zé Silva,325,1722,141.53846153846155,26.713124274099883
160635,Ruy Carneiro,298,1566,154.36241610738256,29.374201787994892
160639,,218,1341,211.0091743119266,34.3027591349739
160640,Eros Biondini,319,1722,144.20062695924764,26.713124274099883
160641,Professora Marcivania,240,1427,191.66666666666666,32.235459004905394
160642,Pastor Eurico,324,2194,141.97530864197532,20.96627164995442
160645,,177,1106,259.88700564971754,41.59132007233273
160651,,204,1256,225.49019607843138,36.62420382165605
160653,,229,1398,200.87336244541484,32.904148783977114
160655,,215,1322,213.95348837209303,34.79576399394856
160665,Augusto Coutinho,346,1873,132.9479768786127,24.559530165509877
160666,Félix Mendonça Júnior,346,2045,132.9479768786127,22.493887530562347
160667,,181,1084,254.14364640883977,42.435424354243544
160669,,208,1254,221.15384615384616,36.68261562998405
160673,Giovani Cherini,345,1826,133.33333333333334,25.191675794085434
160674,Hugo Motta,324,1633,141.97530864197532,28.169014084507044
160758,Domingos Sávio,341,1986,134.89736070381232,23.162134944612287
160976,Tiririca,331,1650,138.97280966767372,27.87878787878788
161440,Pezenti,123,473,373.9837398373984,97.25158562367865
161550,Emidinho Madeira,317,1625,145.11041009463722,28.307692307692307
162067,Kiko Celeguim,121,630,380.1652892561983,73.01587301587301
162332,Luiz Nishimori,314,1606,146.4968152866242,28.642590286425904
163321,Ronaldo Nogueira,77,366,597.4025974025974,125.68306010928961
164359,,222,1250,207.2072072072072,36.8
164360,,248,1507,185.48387096774192,30.524220305242203
165470,Rodrigo Valadares,115,663,400.0,69.3815987933635
166402,Magda Mofatto,326,1776,141.1042944785276,25.9009009009009
167614,,1,4,46000.0,11500.0
168175,,1,4,46000.0,11500.0
171139,,8,25,5750.0,1840.0
171617,Paulão,340,1719,135.2941176470588,26.75974403723095
171619,,113,739,407.07964601769913,62.24627875507443
171623,Fabio Reis,269,1412,171.00371747211895,32.577903682719544
171786,Miguel Ângelo,109,581,422.0183486238532,79.17383820998279
175765,Ribamar Silva,38,136,1210.5263157894738,338.2352941176471
177282,,230,1532,200.0,30.026109660574413
178825,,138,756,333.3333333333333,60.84656084656085
178829,Capitão Augusto,356,2072,129.2134831460674,22.2007722007722
178830,,79,585,582.2784810126582,78.63247863247864
178831,André Abdon,234,1272,196.5811965811966,36.16352201257862
178832,,232,1437,198.27586206896552,32.011134307585245
178833,,106,702,433.9622641509434,65.52706552706553
178835,Afonso Motta,352,2162,130.6818181818182,21.27659574468085
178836,,217,1241,211.9815668202765,37.0668815471394
178839,,197,1169,233.502538071066,39.34987168520102
178842,,105,694,438.0952380952381,66.28242074927954
178843,Marx Beltrão,340,1846,135.2941176470588,24.918743228602384
178844,,119,746,386.5546218487395,61.66219839142091
178854,Elmar Nascimento,305,1561,150.81967213114754,29.468289557975655
178857,Jorge Solla,336,1926,136.9047619047619,23.883696780893043
178858,Mário Negromonte Jr.,335,1755,137.3134328358209,26.210826210826212
178860,Paulo Azi,334,1840,137.7245508982036,25.0
178861,,224,1298,205.35714285714286,35.43913713405239
178862,,64,310,718.75,148.38709677419354
178863,,209,1194,220.0956937799043,38.52596314907873
178866,Luizianne Lins,308,1615,149.35064935064935,28.48297213622291
178868,,12,56,3833.3333333333335,821.4285714285714
178871,Evair Vieira de Melo,344,2417,133.72093023255815,19.031857674803476
178873,Helder Salomão,348,2323,132.183908045977,19.801980198019802
178874,,116,741,396.55172413793105,62.07827260458839
178876,Célio Silveira,339,1849,135.69321533923303,24.878312601406165
178879,,210,1262,219.04761904761904,36.450079239302696
178881,Aluisio Mendes,329,2507,139.8176291793313,18.34862385321101
178882,,223,1212,206.2780269058296,37.95379537953795
178884,Hildo Rocha,259,1713,177.6061776061776,26.85347343841214
178886,Juscelino Filho,243,1327,189.30041152263374,34.6646571213263
178887,Rubens Pereira Júnior,232,1531,198.27586206896552,30.045721750489875
178888,,20,123,2300.0,373.9837398373984
178889,,218,1257,211.0091743119266,36.5950676213206
178895,Misael Varella,311,1744,147.90996784565917,26.376146788990827
178896,Newton Cardoso Jr,314,1653,146.4968152866242,27.828191167574108
178901,,41,253,1121.9512195121952,181.8181818181818
178905,,28,117,1642.857142857143,393.1623931623932
178908,Delegado Éder Mauro,330,1829,139.3939393939394,25.150355385456535
178909,,265,1495,173.58490566037736,30.76923076923077
178910,Joaquim Passarinho,355,1827,129.57746478873239,25.177887246852762
178912,,186,1084,247.31182795698925,42.435424354243544
178916,,225,1259,204.44444444444446,36.53693407466243
178920,,207,1132,222.22222222222223,40.63604240282685
178921,,190,1066,242.10526315789474,43.151969981238274
178922,,221,1320,208.1447963800905,34.84848484848485
178923,,1,4,46000.0,11500.0
178924,,179,1068,256.98324022346367,43.07116104868914
178925,,226,1419,203.53982300884957,32.41719520789288
178927,Aliel Machado,329,1899,139.8176291793313,24.223275408109533
178928,,234,1349,196.5811965811966,34.099332839140104
178929,Diego Garcia,354,2674,129.94350282485877,17.202692595362752
178930,,179,1103,256.98324022346367,41.70444242973708
178931,Luciano Ducci,338,1785,136.09467455621302,25.7703081232493
178933,Sergio Souza,332,1784,138.55421686746988,25.7847533632287
178934,Toninho Wandscheer,320,1814,143.75,25.35832414553473
178935,,63,295,730.1587301587301,155.9322033898305
178937,Altineu Côrtes,213,939,215.96244131455398,48.98828541001065
178939,,214,1342,214.9532710280374,34.277198211624444
178943,Marcos Soares,166,991,277.10843373493975,46.41775983854692
178945,,218,1213,211.0091743119266,37.92250618301731
178946,Soraya Santos,322,2064,142.85714285714286,22.286821705426355
178947,Sóstenes Cavalcante,345,1820,133.33333333333334,25.274725274725274
178948,,209,1249,220.0956937799043,36.82946357085669
178951,,223,1360,206.2780269058296,33.8235294117647
178952,,222,1261,207.2072072072072,36.47898493259318
178953,,225,1247,204.44444444444446,36.888532477947074
178954,Lucio Mosquini,329,1622,139.8176291793313,28.360049321824906
178956,,214,1359,214.9532710280374,33.84841795437822
178959,,221,1540,208.1447963800905,29.87012987012987
178961,,207,1165,222.22222222222223,39.48497854077253
178962,,271,1395,169.74169741697418,32.97491039426523
178963,Covatti Filho,212,1056,216.9811320754717,43.56060606060606
178964,Heitor Schuch,315,1749,146.03174603174602,26.300743281875356
178966,Geovania de Sá,336,1784,136.9047619047619,25.7847533632287
178969,,207,1311,222.22222222222223,35.08771929824562
178970,João Daniel,356,1796,129.2134831460674,25.612472160356347
178972,Alex Manente,346,1987,132.9479768786127,23.15047810770005
178975,Baleia Rossi,324,1691,141.97530864197532,27.202838557066823
178977,,232,1446,198.27586206896552,31.811894882434302
178981,,217,1182,211.9815668202765,38.917089678511
178982,,40,220,1150.0,209.0909090909091
178983,Marcio Alvino,360,1793,127.77777777777777,25.655326268823202
178984,,38,239,1210.5263157894738,192.46861924686192
178985,Miguel Lombardi,359,1891,128.13370473537606,24.325753569539927
178986,Nilto Tatto,341,1840,134.89736070381232,25.0
178987,Orlando Silva,340,2275,135.2941176470588,20.21978021978022
178989,Renata Abreu,211,962,218.00947867298578,47.817047817047815
178990,,234,1441,196.5811965811966,31.922276197085356
178992,Vitor Lippi,344,2045,133.72093023255815,22.493887530562347
178993,Carlos Henrique Gaguim,336,3756,136.9047619047619,12.247071352502662
178994,,230,1460,200.0,31.506849315068493
178996,,230,1312,200.0,35.0609756097561
178997,Moses Rodrigues,310,1725,148.38709677419354,26.666666666666668
179000,Marcelo Álvaro Antônio,235,1005,195.74468085106383,45.77114427860697
179001,Márcio Biolchi,346,1703,132.9479768786127,27.011156782149147
179587,,216,1322,212.96296296296296,34.79576399394856
180018,,1,4,46000.0,11500.0
180214,Pastor Diniz,110,437,418.1818181818182,105.26315789473684
182146,,14,83,3285.714285714286,554.2168674698795
188097,Merlong Solano,290,1586,158.6206896551724,29.003783102143757
191923,Flávio Nogueira,348,2305,132.183908045977,19.95661605206074
191945,,9,25,5111.111111111111,1840.0
193726,,232,1362,198.27586206896552,33.773861967694565
194260,,206,1182,223.3009708737864,38.917089678511
195866,,185,956,248.64864864864865,48.11715481171548
196358,,227,1283,202.6431718061674,35.85346843335932
197438,,191,972,240.83769633507853,47.325102880658434
198197,Greyce Elias,289,1590,159.16955017301038,28.930817610062892
198783,Emanuel Pinheiro Neto,336,1802,136.9047619047619,25.527192008879023
204011,,1,4,46000.0,11500.0
204351,Dr. Luiz Ovando,351,1938,131.05413105413106,23.735810113519094
204352,,227,1374,202.6431718061674,33.47889374090247
204353,,227,1339,202.6431718061674,34.35399551904406
204354,,170,1057,270.5882352941176,43.519394512771996
204355,Da Vitoria,344,1730,133.72093023255815,26.589595375722542
204356,Amaro Neto,357,1804,128.8515406162465,25.49889135254989
204357,,230,1259,200.0,36.53693407466243
204358,Beto Pereira,329,1748,139.8176291793313,26.31578947368421
204359,,225,1515,204.44444444444446,30.363036303630363
204360,Silvia Cristina,353,2102,130.31161473087818,21.883920076117985
204361,,299,1711,153.84615384615384,26.884862653419052
204362,Ricardo Guidi,309,1532,148.8673139158576,30.026109660574413
204363,,215,1249,213.95348837209303,36.82946357085669
204364,Eli Borges,310,1712,148.38709677419354,26.869158878504674
204365,Gilson Marques,355,2159,129.57746478873239,21.306160259379343
204366,,233,1482,197.42489270386267,31.039136302294196
204367,Daniel Freitas,342,1753,134.50292397660817,26.240730176839705
204368,Fabio Schiochet,336,1703,136.9047619047619,27.011156782149147
204369,Caroline de Toni,347,2432,132.56484149855908,18.914473684210527
204370,,224,1236,205.35714285714286,37.2168284789644
204371,,221,1501,208.1447963800905,30.646235842771485
204372,Julio Cesar Ribeiro,313,1758,146.96485623003196,26.16609783845279
204373,,234,1381,196.5811965811966,33.3091962346126
204374,Bia Kicis,350,2222,131.42857142857142,20.702070207020704
204375,,216,1287,212.96296296296296,35.74203574203574
204376,,237,1393,194.0928270042194,33.022254127781764
204377,,226,1617,203.53982300884957,28.44774273345702
204378,Coronel Chrisóstomo,350,2081,131.42857142857142,22.104757328207594
204379,Acácio Favacho,301,1775,152.82392026578074,25.91549295774648
204380,,144,730,319.44444444444446,63.013698630136986
204381,,236,1589,194.91525423728814,28.9490245437382
204382,,211,1304,218.00947867298578,35.2760736196319
204383,,230,1384,200.0,33.23699421965318
204384,,68,525,676.4705882352941,87.61904761904762
204385,,191,1108,240.83769633507853,41.51624548736462
204386,,231,1296,199.13419913419912,35.49382716049383
204387,Sargento Fahur,361,2029,127.42382271468144,22.671266633809758
204388,Bibo Nunes,352,1846,130.6818181818182,24.918743228602384
204389,,232,1471,198.27586206896552,31.271244051665533
204390,Professor Alcides,343,1971,134.11078717201167,23.338406900050735
204391,José Nelto,325,1860,141.53846153846155,24.731182795698924
204392,,226,1390,203.53982300884957,33.093525179856115
204393,,223,1290,206.2780269058296,35.65891472868217
204394,Gervásio Maia,353,2111,130.31161473087818,21.790620558976787
204395,Pedro Lupion,326,1989,141.1042944785276,23.127199597787833
204396,Vermelho,332,1759,138.55421686746988,26.151222285389427
204397,,149,892,308.7248322147651,51.5695067264574
204398,Felipe Francischini,338,2231,136.09467455621302,20.61855670103093
204399,,123,795,373.9837398373984,57.861635220125784
204400,,233,1418,197.42489270386267,32.44005641748942
204403,,207,1183,222.22222222222223,38.88419273034658
204404,Lucas Redecker,349,2474,131.8051575931232,18.593371059013744
204405,,231,1715,199.13419913419912,26.82215743440233
204406,Pedro Westphalen,346,1959,132.9479768786127,23.481368044920877
204407,Fernanda Melchionna,336,2284,136.9047619047619,20.140105078809107
204408,Gustinho Ribeiro,330,1709,139.3939393939394,26.916325336454065
204409,Daniel Trzeciak,351,1809,131.05413105413106,25.42841348811498
204410,Luisa Canziani,330,1981,139.3939393939394,23.220595658758203
204411,Filipe Barros,313,1589,146.96485623003196,28.9490245437382
204412,Dr. Zacharias Calil,347,2119,132.56484149855908,21.708352996696554
204413,,220,1439,209.0909090909091,31.966643502432245
204414,,226,1280,203.53982300884957,35.9375
204415,,222,1439,207.2072072072072,31.966643502432245
204416,Sanderson,348,2191,132.183908045977,20.994979461433136
204418,,231,1539,199.13419913419912,29.889538661468485
204419,,322,1691,142.85714285714286,27.202838557066823
204420,,224,1283,205.35714285714286,35.85346843335932
204421,,156,850,294.87179487179486,54.11764705882353
204422,Ossesio Silva,316,1832,145.56962025316454,25.109170305676855
204423,André Ferreira,306,1515,150.32679738562092,30.363036303630363
204425,,242,1490,190.08264462809916,30.87248322147651
204426,Carlos Veras,349,2176,131.8051575931232,21.139705882352942
204427,Fernando Rodolfo,329,1801,139.8176291793313,25.541365907828983
204428,,211,1209,218.00947867298578,38.0479735318445
204429,,110,763,418.1818181818182,60.28833551769332
204430,,228,1374,201.75438596491227,33.47889374090247
204431,Marcos Aurélio Sampaio,333,1649,138.13813813813815,27.895694360218315
204432,,234,1356,196.5811965811966,33.92330383480826
204433,,172,1074,267.4418604651163,42.83054003724395
204434,,216,1292,212.96296296296296,35.60371517027864
204435,,212,1289,216.9811320754717,35.68657874321179
204436,Isnaldo Bulhões Jr.,269,1407,171.00371747211895,32.69367448471926
204437,,219,1308,210.0456621004566,35.16819571865443
204438,,203,1244,226.60098522167488,36.97749196141479
204439,,220,1352,209.0909090909091,34.023668639053255
204440,,230,1421,200.0,32.371569317382125
204441,Otoni de Paula,337,1882,136.49851632047478,24.442082890541975
204442,,229,1322,200.87336244541484,34.79576399394856
204444,Helio Lopes,343,1837,134.11078717201167,25.040827436037016
204445,Fernando Mineiro,123,636,373.9837398373984,72.32704402515724
204446,,226,1373,203.53982300884957,33.50327749453751
204447,,146,923,315.06849315068496,49.83748645720477
204448,Luiz Antonio Corrêa,258,1316,178.29457364341084,34.954407294832826
